trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
88,0,88,0,194.39481350011192,,194.34963870001957,10,194.39481350011192,194.39481350011192,0.024406899930909276,195.63151849992573,[0.122],[-0.152],[1],[0],[0],[1.2575918999500573],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
89,0,89,0,195.66269599995576,,195.6338824001141,5,195.66269599995576,195.66269599995576,0.010695100063458085,197.33405639999546,[0.06],[-0.454],[1],[0],[0],[1.6895359000191092],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
90,0,90,0,197.38145039998926,,197.336200900143,10,197.38145039998926,197.38145039998926,0.02379940007813275,199.51946490001865,[-0.062],[0.326],[1],[0],[0],[2.159424399957061],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
91,0,91,0,199.55054680001922,,199.52168760006316,5,199.55054680001922,199.55054680001922,0.01362060010433197,201.4053375001531,[-0.192],[-0.252],[1],[0],[0],[1.8700251001864672],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
92,0,92,0,201.43605410004966,,201.40753610013053,5,201.43605410004966,201.43605410004966,0.01078170002438128,203.47399640013464,[-0.274],[-0.21],[1],[0],[0],[2.0555639998055995],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
93,0,93,0,203.52106090006419,,203.47692480008118,10,203.52106090006419,203.52106090006419,0.03300910000689328,206.31001979997382,[0.188],[-0.254],[1],[0],[0],[2.800066899973899],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
94,0,94,0,206.34142399998382,,206.31221499992535,5,206.34142399998382,206.34142399998382,0.01059479988180101,207.87851450010203,[-0.216],[-0.048],[1],[0],[0],[1.5557375000789762],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
95,0,95,0,207.92657330003567,,207.8806831999682,10,207.92657330003567,207.92657330003567,0.022151599870994687,209.29641119996086,[-0.22],[-0.194],[1],[0],[0],[1.3935774001292884],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
96,0,96,0,209.32826069998555,,209.2985539000947,5,209.32826069998555,209.32826069998555,0.013031800044700503,211.53259270009585,[0.352],[-0.002],[1],[0],[0],[2.2209606000687927],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
97,0,97,0,211.57990640006028,,211.53606500010937,10,211.57990640006028,211.57990640006028,0.023482900112867355,214.01856809994206,[0.106],[-0.416],[1],[0],[0],[2.4589388000313193],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
98,0,98,0,214.04983090003952,,214.02079070010222,5,214.04983090003952,214.04983090003952,0.010814599925652146,216.08868220006116,[0.156],[0.078],[1],[0],[0],[2.057096299948171],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
99,0,99,0,216.11876430013217,,216.09172450006008,5,216.11876430013217,216.11876430013217,0.012030400102958083,217.75688170013018,[-0.198],[-0.198],[1],[0],[0],[1.653078000061214],[],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
100,0,100,0,217.787432000041,,217.75904750009067,5,217.787432000041,217.787432000041,0.010725299827754498,219.75923520000651,[0.218],[0.1],[1],[0],[0],[1.9894393999129534],[],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
101,0,101,0,219.8062571999617,,219.7614062000066,10,219.8062571999617,219.8062571999617,0.025433399947360158,221.1428767000325,[0.36],[0.228],[1],[0],[0],[1.3559542000293732],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
102,0,102,0,221.19054000009783,,221.14508499996737,10,221.19054000009783,221.19054000009783,0.026162999914959073,222.31170920003206,[0.342],[0.31],[1],[0],[0],[1.1404071999713778],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
103,0,103,0,222.35847280011512,,222.31390379997902,10,222.35847280011512,222.35847280011512,0.029719100100919604,223.57999700005166,[0.334],[0.312],[1],[0],[0],[1.236288000131026],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
104,0,104,0,223.61047870013863,,223.58218639995903,5,223.61047870013863,223.61047870013863,0.010546699864789844,225.6315115999896,[0.318],[-0.15],[1],[0],[0],[2.038768099853769],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
105,0,105,0,225.6624569001142,,225.63365640002303,5,225.6624569001142,225.6624569001142,0.012726099928840995,227.1669147000648,[0.058],[-0.216],[1],[0],[0],[1.5205268000718206],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
106,0,106,0,227.21446570008993,,227.1690708999522,10,227.21446570008993,227.21446570008993,0.02143839979544282,229.25290650012903,[-0.064],[0.258],[1],[0],[0],[2.062321800040081],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
107,0,107,0,229.29995779995807,,229.2551126999315,10,229.29995779995807,229.29995779995807,0.025921900058165193,231.47064479999244,[-0.058],[-0.35],[1],[0],[0],[2.1897336998954415],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
108,0,108,0,231.50208669994026,,231.47286540013738,5,231.50208669994026,231.50208669994026,0.01495509990490973,233.20678090001456,[-0.274],[-0.456],[1],[0],[0],[1.7189374000299722],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
109,0,109,0,233.23768120002933,,233.20896790013649,5,233.23768120002933,233.23768120002933,0.011033899849280715,235.0424478999339,[-0.418],[-0.088],[1],[0],[0],[1.8223871998488903],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
110,0,110,0,235.073074700078,,235.0446206999477,5,235.073074700078,235.073074700078,0.011073599802330136,236.74432649998926,[0.168],[-0.388],[1],[0],[0],[1.6885367999784648],[],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
111,0,111,0,236.7915287001524,,236.74671269999817,10,236.7915287001524,236.7915287001524,0.021910599898546934,238.51188870007172,[-0.404],[0.13],[1],[0],[0],[1.7432010998018086],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
112,0,112,0,238.54376480006613,,238.51407380006276,5,238.54376480006613,238.54376480006613,0.010473399888724089,240.33166299993172,[-0.044],[0.44],[1],[0],[0],[1.80700089992024],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
113,0,113,0,240.36198409995995,,240.33392730006017,5,240.36198409995995,240.36198409995995,0.016173599986359477,241.9501350999344,[0.02],[0.28],[1],[0],[0],[1.6000429999548942],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
114,0,114,0,241.99732180009596,,241.95237249997444,10,241.99732180009596,241.99732180009596,0.021445199847221375,243.33468069997616,[0.114],[0.188],[1],[0],[0],[1.3608176000416279],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
115,0,115,0,243.3821014999412,,243.33682450000197,10,243.3821014999412,243.3821014999412,0.021347399801015854,245.45394239993766,[0.426],[0.036],[1],[0],[0],[2.095844800118357],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
116,0,116,0,245.50067019998096,,245.4564678000752,10,245.50067019998096,245.50067019998096,0.02988389995880425,247.4397573999595,[0.486],[-0.276],[1],[0],[0],[1.9534002000000328],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
117,0,117,0,247.47005260013975,,247.44192490004934,5,247.47005260013975,247.47005260013975,0.011105200042948127,248.85857659997419,[-0.21],[0.062],[1],[0],[0],[1.4055898000951856],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
118,0,118,0,248.90463829995133,,248.86105860001408,10,248.90463829995133,248.90463829995133,0.030486099887639284,251.04298070003279,[-0.298],[-0.02],[1],[0],[0],[2.151386999990791],[],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
119,0,119,0,251.07416040007956,,251.04517449997365,5,251.07416040007956,251.07416040007956,0.01091640000231564,252.47779799997807,[-0.26],[0.07],[1],[0],[0],[1.4216774001251906],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
120,0,120,0,252.50881130015478,,252.4799878001213,5,252.50881130015478,252.50881130015478,0.010630400152876973,254.34659540001303,[-0.044],[0.452],[1],[0],[0],[1.8558695998508483],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
121,0,121,0,254.3944355000276,,254.3487931001,10,254.3944355000276,254.3944355000276,0.024468000046908855,256.7489740001038,[0.27],[-0.442],[1],[0],[0],[2.3756375000812113],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
